X,Y,OBJECTID,Weekday,stop_code,StopMode,stop_name,stop_lat,stop_lon,F28,F38,F55,F60,F61,F62,F63,F64,F65,F75,F80,F81,F82,F84,A,B,C,D,E,F,G,H,J,L,O,P,R,S,W
-9947754.26620678,5324859.84150466,106,23.59090909,1289,MB,Williamson at S Baldwin,43.084614,-89.362197,0,2.13636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.45454545,0,0,0,0,0,0,0,0,0,0,0,0
-9947910.89277886,5329391.63366403,107,0.36363636,1290,MB,Aberg at N Sherman,43.114339,-89.363604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36363636,0,0,0,0,0
-9946207.48191686,5327218.53823935,108,40.59090909,1293,MB,Milwaukee at E Washington,43.100087,-89.348302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.59090909,0,0,0,0,0,0,0,0,0,0,0
-9946292.641328,5327338.67643894,109,101.86363636,1301,MB,North at E Washington,43.100875,-89.349067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.95454545,0,7.90909091,0,0,0,0,0,0,0,0,0,0,0
-9944082.50414295,5326938.17071743,110,0.36363636,1309,MB,Milwaukee at Leon,43.098248,-89.329213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36363636,0,0,0,0,0,0,0,0,0,0,0
-9945360.22923018,5326226.84648621,111,3.54545455,1321,MB,Atwood at S Fair Oaks,43.093582,-89.340691,0,0.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81818182,0,0,0,0,0,0,0,0,0,0,0,0
-9948483.63155353,5325623.19342319,112,5.45454545,1325,MB,E Johnson at N Baldwin,43.089622,-89.368749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45454545,0,0,0,0,0,0,0,0,0,0,0
-9948400.47583157,5326762.69752736,113,25.72727273,1329,MB,Sherman at Sherman,43.097097,-89.368002,25.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9953426.7735684,5323131.70803604,114,137.27272727,133,MB,University at N Breese,43.073275,-89.413154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.27272727,0,0,0,0,0,0,0,0,0,0,0,0
-9947912.89641548,5326157.79023862,115,11.18181818,1333,MB,E Johnson at Fordem,43.093129,-89.363622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18181818,0,0,0,0,0,0,0,0,0,0,0
